model,turbine,lead_bucket,n,mae,rmse
patch_gpu64,T2,25-48,8287,0.3061037446291333,0.3498048710339002
blend_scratch_25pct,T1,1-24,8346,0.2762996393924046,0.32396959586051055
blend_scratch_25pct,T1,25-48,8307,0.30532008397256594,0.34734986508821114
blend_scratch_25pct,T2,1-24,8323,0.27803501903515543,0.3255622415474565
blend_scratch_25pct,T2,25-48,8287,0.30710489999424423,0.34863799256268
blend_scratch_50pct,T1,1-24,8346,0.275963236076713,0.32370934714831445
blend_scratch_50pct,T1,25-48,8307,0.3048435008999335,0.346753219046451
blend_scratch_50pct,T2,1-24,8323,0.2777499640584646,0.3253158669229795
blend_scratch_50pct,T2,25-48,8287,0.30675837282539037,0.3481772178136858
blend_scratch_75pct,T1,1-24,8346,0.2756755259234693,0.32357833806571695
blend_scratch_75pct,T1,25-48,8307,0.3044174447470011,0.34626597114701935
blend_scratch_75pct,T2,1-24,8323,0.27751648306206844,0.3252085433403638
blend_scratch_75pct,T2,25-48,8287,0.30645969288683156,0.34783286840125377
blend_previous_25pct,T1,1-24,8346,0.264378212730146,0.3244990733683221
blend_previous_25pct,T1,25-48,8307,0.29689703201368156,0.3488090570732168
blend_previous_25pct,T2,1-24,8323,0.265456206139246,0.3262734929656386
blend_previous_25pct,T2,25-48,8287,0.297969242630705,0.35028004758022235
blend_previous_50pct,T1,1-24,8346,0.26733207881899507,0.32282544448732864
blend_previous_50pct,T1,25-48,8307,0.29864924173934465,0.34673292321228455
blend_previous_50pct,T2,1-24,8323,0.2686262921687385,0.324500650838945
blend_previous_50pct,T2,25-48,8287,0.30006816735552855,0.3481975120103909
blend_previous_75pct,T1,1-24,8346,0.27100802686078285,0.32251669287702367
blend_previous_75pct,T1,25-48,8307,0.30110657642365074,0.34575632757017244
blend_previous_75pct,T2,1-24,8323,0.27264164990372125,0.3241547718108524
blend_previous_75pct,T2,25-48,8287,0.302872086149433,0.3473028689023011
catboost_neighbor+error30d,T1,1-24,8346,0.2758193123278031,0.32749004722992364
catboost_neighbor+error30d,T1,25-48,8307,0.3029817359721224,0.3511079794578411
catboost_neighbor+error30d,T2,1-24,8323,0.2778755066506036,0.32873754672073924
catboost_neighbor+error30d,T2,25-48,8287,0.3050061513516978,0.352312937206471
